Activation,LearningRate,N,Op1,Op2,Op3,Op4,Op5,Op6,Optimizer,Resolution,TrivialAugment,W,WeightDecay,epoch,valid-acc,latency,runtime,FLOPS,size_MB,test-acc,$<train-acc
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,1,34.691999989013674,0.5656311037336077,255.63415718078613,4.698282,0.03379,35.76,26.299999995117187
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,2,36.99999998657226,0.565643158531189,511.0711271762848,4.698282,0.03379,37.17,37.15999998535156
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,3,44.43200000488281,0.5658837817055838,766.6288514137268,4.698282,0.03379,43.64,42.811999997558594
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,4,49.32799999511719,0.565972017288208,1022.1609272956848,4.698282,0.03379,49.15,48.91199999267578
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,5,37.58399999755859,0.5659523847307477,1277.592455148697,4.698282,0.03379,37.46,51.98399999755859
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,6,56.41999999267578,0.565953382737296,1533.3642492294312,4.698282,0.03379,56.23,54.47200000366211
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,7,55.22400000366211,0.5659262630073392,1788.8309683799744,4.698282,0.03379,55.38,56.21599999511719
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,8,61.427999987792965,0.5659781204223633,2044.261167526245,4.698282,0.03379,61.03,57.81600000366211
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,9,64.11199999267578,0.5659471169244675,2299.630732536316,4.698282,0.03379,64.14,59.40399998413086
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,10,61.43599998901367,0.5658266171319144,2554.941075563431,4.698282,0.03379,61.39,60.8
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,11,63.9359999975586,0.5658850017349442,2810.5006353855133,4.698282,0.03379,63.58,62.18799999633789
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,12,67.75999997558594,0.5659441080502101,3065.9457590579987,4.698282,0.03379,67.43,63.3999999975586
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,13,54.684000003662106,0.5660336669334999,3321.3231070041656,4.698282,0.03379,54.47,64.44400000732422
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,14,67.23599997558594,0.5660463506971086,3576.429384946823,4.698282,0.03379,66.43,64.81999999511719
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,15,70.55999997314453,0.5660330892799014,3831.841332435608,4.698282,0.03379,70.26,65.27199999511718
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,16,68.06000001464844,0.5660258447306497,4087.356614112854,4.698282,0.03379,67.52,66.05600000732422
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,17,66.42399997558594,0.5659947542014242,4342.852784395218,4.698282,0.03379,65.79,66.56399999511719
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,18,68.1560000024414,0.5659642140343075,4598.1213555336,4.698282,0.03379,67.65,66.90399997314454
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,19,71.19199998779297,0.5659924326903838,4854.185519456863,4.698282,0.03379,71.17,68.00399998779297
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,20,71.65199997314453,0.5660292829459054,5109.901464939117,4.698282,0.03379,71.32,67.91999998046875
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,21,71.75600001708985,0.5660594906268477,5365.819064617157,4.698282,0.03379,71.43,68.43999999023437
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,22,67.62399999267578,0.566080502616585,5621.481679677963,4.698282,0.03379,67.09,68.95199999023437
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,23,73.59999997070312,0.5660990003858294,5877.180807113648,4.698282,0.03379,72.94,69.5640000024414
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,24,70.75199997802734,0.5661276899065291,6133.169120788574,4.698282,0.03379,70.43,69.55999998779296
Mish,0.0775918342247204,3,0,2,4,3,2,2,SGD,1.0,True,4,3.062135369134168e-05,25,71.27599997314454,0.5661557989371163,6389.116437911987,4.698282,0.03379,71.4,69.90800001953124
