Activation,LearningRate,N,Op1,Op2,Op3,Op4,Op5,Op6,Optimizer,Resolution,TrivialAugment,W,WeightDecay,epoch,valid-acc,latency,runtime,FLOPS,size_MB,test-acc,$<train-acc
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,1,66.9788359400835,0.3656131376907172,267.570347070694,3.444906,0.025654,66.14285713849749,67.43537414204776
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,2,80.63492060101221,0.3646343088150024,533.9749455451965,3.444906,0.025654,80.18571425083705,85.1496598584095
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,3,82.0317460123698,0.3641571775949446,801.2188124656677,3.444906,0.025654,82.17142855398995,87.02721088712178
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,4,83.03174604143415,0.3630363913576575,1067.1352698802948,3.444906,0.025654,82.3857143118722,88.5102040767886
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,5,82.87301587463055,0.3622759182094147,1332.710135936737,3.444906,0.025654,82.62857144601004,89.15646257880594
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,6,76.32275131629258,0.362375631172838,1600.1681456565857,3.444906,0.025654,75.98571426827567,89.60997731803496
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,7,81.06349205703332,0.362170272239058,1865.85652923584,3.444906,0.025654,80.98571425955636,90.0340135999061
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,8,85.4338624144862,0.3632048788310018,2129.4870414733887,3.444906,0.025654,84.97142855398995,90.33560090356944
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,9,89.57671958802239,0.3619584920589426,2389.1121842861176,3.444906,0.025654,89.12857142857143,90.55782312509965
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,10,87.78306879437159,0.3617556821351806,2649.23979640007,3.444906,0.025654,87.28571425955636,90.67573695591518
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,11,90.29100531684028,0.3608691754312673,2908.207767009735,3.444906,0.025654,90.1000000087193,90.96371881670964
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,12,61.3280422957486,0.3603145949444715,3166.8306233882904,3.444906,0.025654,61.27142859758649,91.11337867857918
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,13,86.80952375462446,0.3593284776906851,3423.854278802872,3.444906,0.025654,86.31428572300503,91.10430838587062
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,14,91.052910022231,0.3590477281871318,3682.413697242737,3.444906,0.025654,90.48571425083703,91.25396825120022
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,15,88.40740736058149,0.3582811556709319,3940.35711479187,3.444906,0.025654,87.57142856270926,91.44897958976073
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,16,90.06878304456276,0.3575152376098522,4197.867435693741,3.444906,0.025654,89.44285713413784,91.50340135500817
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,17,88.55555558139054,0.3574139179426406,4455.365304231644,3.444906,0.025654,87.94285712541853,91.68027210261546
Hardswish,0.0415495194419526,3.0,0.0,3.0,3.0,2.0,4.0,2.0,SGD,1.0,False,4.0,0.0002950472121227,18,91.21164019549336,0.3569027381411748,4713.12175822258,3.444906,0.025654,91.12857143729072,91.70294784026892
